experiment_id,block_number,processing_time,input_tokens,output_tokens,retries
b0b638a12968_20251203162034,4,59.00919485092163,5584,1232,3
b0b638a12968_20251203162034,5,101.64132070541382,4926,1121,3
b0b638a12968_20251203162034,6,68.52831053733826,3870,444,3
c89933de2c91_20251203162251,1,14.603887796401978,4503,1337,0
c89933de2c91_20251203162251,2,102.45603108406067,5678,915,3
c89933de2c91_20251203162251,3,126.4175386428833,4995,1362,2
c89933de2c91_20251203162251,4,95.63545799255371,5516,741,3
c89933de2c91_20251203162251,5,37.915581464767456,4551,1650,0
c89933de2c91_20251203162251,6,54.804553270339966,3962,573,3
7e2f42de6ae5_20251203162741,1,35.97179412841797,4501,1263,0
7e2f42de6ae5_20251203162741,2,84.59169840812683,5625,1288,3
7e2f42de6ae5_20251203162741,3,66.7389132976532,5084,1049,1
7e2f42de6ae5_20251203162741,4,38.938652992248535,5509,934,1
7e2f42de6ae5_20251203162741,5,88.28415632247925,4979,1332,2
7e2f42de6ae5_20251203162741,6,63.21333360671997,3898,591,3
b0b638a12968_20251203163103,1,19.115668535232544,4503,1564,0
b0b638a12968_20251203163103,2,119.36798071861267,5569,1101,3
b0b638a12968_20251203163103,3,147.97797322273254,0,0,3
b0b638a12968_20251203163103,4,75.49198865890503,5538,1180,3
b0b638a12968_20251203163103,5,114.26169085502625,4937,840,3
b0b638a12968_20251203163103,6,73.80527663230896,3861,630,3
a327b396fcf6_20251203163456,1,34.84079694747925,4501,1238,0
a327b396fcf6_20251203163456,2,100.92893648147583,5613,1023,3
a327b396fcf6_20251203163456,3,158.12874054908752,4983,1200,3
a327b396fcf6_20251203163456,4,61.618459701538086,5724,1067,3
a327b396fcf6_20251203163456,5,35.99387574195862,4908,1504,1
a327b396fcf6_20251203163456,6,25.004284381866455,3942,1155,1
7e2f42de6ae5_20251203164114,1,29.115623235702515,4503,1359,0
7e2f42de6ae5_20251203164114,2,78.39118480682373,5614,1093,3
7e2f42de6ae5_20251203164114,3,187.36002683639526,0,0,3
7e2f42de6ae5_20251203164114,4,74.84545612335205,5517,978,3
7e2f42de6ae5_20251203164114,5,58.00466823577881,4863,906,1
7e2f42de6ae5_20251203164114,6,53.528807640075684,3957,1026,3
d2652f3d8cb7_20251203164255,1,26.043877124786377,4502,1256,0
d2652f3d8cb7_20251203164255,2,85.80930948257446,5592,1198,3
d2652f3d8cb7_20251203164255,3,122.86315250396729,5118,1109,3
d2652f3d8cb7_20251203164255,4,71.30527329444885,5545,987,3
d2652f3d8cb7_20251203164255,5,56.087661027908325,4930,1421,1
d2652f3d8cb7_20251203164255,6,59.88568115234375,3922,754,3
fd647d0c4c24_20251203165101,1,32.75554919242859,4503,1491,0
fd647d0c4c24_20251203165101,2,77.54895806312561,5658,1023,3
fd647d0c4c24_20251203165101,3,126.75273418426514,5109,1127,3
fd647d0c4c24_20251203165101,4,84.73289656639099,5589,1163,3
fd647d0c4c24_20251203165101,5,50.96944737434387,5109,1269,1
fd647d0c4c24_20251203165101,6,53.135884284973145,3926,511,3
a327b396fcf6_20251203165033,1,32.72438859939575,4503,1534,0
a327b396fcf6_20251203165033,2,78.6360411643982,5736,730,3
a327b396fcf6_20251203165033,3,182.25369906425476,5091,1352,3
a327b396fcf6_20251203165033,4,72.07799005508423,5588,1106,3
a327b396fcf6_20251203165033,5,72.62830924987793,4926,1320,1
a327b396fcf6_20251203165033,6,41.72009563446045,3950,493,2
3e01f0edf124_20251203165925,1,13.33435869216919,4504,1331,0
3e01f0edf124_20251203165925,3,98.08547186851501,0,0,2
3e01f0edf124_20251203165925,4,69.38575387001038,5649,797,3
3e01f0edf124_20251203165925,5,100.21074914932251,4800,818,2
3e01f0edf124_20251203165925,6,38.96102809906006,4022,616,3
d2652f3d8cb7_20251203165950,1,32.45969295501709,4502,1226,0
d2652f3d8cb7_20251203165950,2,57.54843354225159,5542,1501,3
d2652f3d8cb7_20251203165950,3,132.83611416816711,5034,1020,3
d2652f3d8cb7_20251203165950,4,50.7024347782135,5485,1150,2
d2652f3d8cb7_20251203165950,5,93.80227446556091,4916,1464,2
d2652f3d8cb7_20251203165950,6,65.08912515640259,3912,857,2
99bbc7035a9c_20251203170605,1,25.130836486816406,4503,1081,0
99bbc7035a9c_20251203170605,2,82.59111213684082,5664,1041,3
99bbc7035a9c_20251203170605,3,123.11779308319092,0,0,3
99bbc7035a9c_20251203170605,4,73.53933501243591,5592,731,3
99bbc7035a9c_20251203170605,5,122.8636827468872,5079,1485,3
99bbc7035a9c_20251203170605,6,61.95227766036987,3894,350,3
fd647d0c4c24_20251203170755,1,86.50638127326965,4871,1497,1
fd647d0c4c24_20251203170755,2,74.316082239151,5609,1253,3
fd647d0c4c24_20251203170755,3,198.33216071128845,0,0,3
fd647d0c4c24_20251203170755,4,48.09903645515442,5606,722,1
fd647d0c4c24_20251203170755,5,34.046645164489746,4550,1557,0
fd647d0c4c24_20251203170755,6,54.37054777145386,3903,587,3
3e01f0edf124_20251203171715,1,23.028160572052002,4503,1373,0
3e01f0edf124_20251203171715,2,61.811665058135986,5641,859,3
3e01f0edf124_20251203171715,3,172.20884823799133,0,0,3
3e01f0edf124_20251203171715,4,58.54100489616394,5509,882,3
3e01f0edf124_20251203171715,5,111.32154035568237,4947,1354,3
3e01f0edf124_20251203171715,6,40.234190702438354,3981,584,3
99bbc7035a9c_20251203172610,1,23.084007740020752,4502,1131,0
99bbc7035a9c_20251203172610,2,59.85414457321167,5688,1042,3
99bbc7035a9c_20251203172610,3,200.08382987976074,5027,1533,3
99bbc7035a9c_20251203172610,4,71.99215626716614,5518,1495,3
99bbc7035a9c_20251203172610,5,28.609201431274414,4889,1170,1
99bbc7035a9c_20251203172610,6,81.97270941734314,3931,695,3
